Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-24,13:45,Brisbane,GWS Giants,Gabba,64,82,,8,16,13,4, 1.30 , 3.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-24,13:45,North Melbourne,West Coast,Blundstone Arena,97,102,,14,13,15,12, 1.65 , 2.16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Aug-24,19:40,Sydney,Collingwood,SCG,89,86,,13,11,12,14, 1.38 , 2.85 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-24,16:40,St Kilda,Brisbane,Marvel Stadium,39,124,,5,9,19,10, 2.32 , 1.56 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-24,15:20,Essendon,Fremantle,MCG,90,89,,13,12,14,5, 2.19 , 1.62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-Aug-24,13:10,GWS Giants,Hawthorn,Manuka Oval,84,82,,12,12,12,10, 1.78 , 1.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Aug-24,19:30,Collingwood,Carlton,MCG,84,81,,12,12,11,15, 2.33 , 1.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Aug-24,19:00,Port Adelaide,Sydney,Adelaide Oval,148,36,,22,16,5,6, 1.81 , 1.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Aug-24,16:35,Geelong,Adelaide,GMHBA Stadium,90,85,,13,12,13,7, 1.33 , 3.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-Aug-24,13:45,North Melbourne,Richmond,Marvel Stadium,90,77,,14,6,10,17, 2.08 , 1.68 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Aug-24,18:30,West Coast,Gold Coast,Optus Stadium,97,87,,15,7,13,9, 2.87 , 1.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Aug-24,19:15,Western Bulldogs,Melbourne,Marvel Stadium,110,59,,15,20,9,5, 1.28 , 3.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul-24,15:40,Adelaide,Hawthorn,Adelaide Oval,58,124,,8,10,19,10, 1.92 , 1.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul-24,15:20,Sydney,Western Bulldogs,SCG,48,87,,7,6,12,15, 1.55 , 2.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jul-24,13:10,Collingwood,Richmond,MCG,93,67,,14,9,9,13, 1.23 , 3.86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jul-24,18:10,Fremantle,West Coast,Optus Stadium,110,75,,17,8,11,9, 1.07 , 7.17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jul-24,19:30,Melbourne,GWS Giants,MCG,83,85,,12,11,13,7, 1.85 , 1.87 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jul-24,16:35,Gold Coast,Brisbane,People First Stadium,65,93,,9,11,13,15, 2.02 , 1.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jul-24,16:35,St Kilda,Essendon,Marvel Stadium,108,55,,17,6,8,7, 2.19 , 1.62 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-Jul-24,13:45,North Melbourne,Geelong,Blundstone Arena,66,106,,10,6,16,10, 3.68 , 1.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Jul-24,19:40,Carlton,Port Adelaide,Marvel Stadium,65,79,,9,11,11,13, 1.57 , 2.31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jul-24,16:40,Carlton,North Melbourne,Marvel Stadium,107,88,,16,11,14,4, 1.11 , 5.84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jul-24,13:20,Fremantle,Melbourne,Optus Stadium,116,66,,17,14,10,6, 1.30 , 3.27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jul-24,13:10,Brisbane,Sydney,Gabba,79,77,,11,13,11,11, 1.77 , 1.96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul-24,19:30,Geelong,Western Bulldogs,GMHBA Stadium,48,95,,7,6,13,17, 1.56 , 2.32 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul-24,19:00,Port Adelaide,Richmond,Adelaide Oval,116,75,,16,20,11,9, 1.05 , 8.43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul-24,16:35,Hawthorn,Collingwood,MCG,133,67,,20,13,9,13, 1.79 , 1.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul-24,13:45,GWS Giants,Gold Coast,ENGIE Stadium,89,50,,14,5,6,14, 1.37 , 2.89 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul-24,13:45,St Kilda,West Coast,Marvel Stadium,113,41,,17,11,6,5, 1.10 , 5.96 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul-24,19:40,Essendon,Adelaide,Marvel Stadium,113,115,,17,11,17,13, 1.40 , 2.77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul-24,14:40,West Coast,Brisbane,Optus Stadium,93,106,,14,9,16,10, 5.15 , 1.14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul-24,15:20,Richmond,GWS Giants,MCG,84,108,,12,12,17,6, 3.79 , 1.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul-24,13:10,Gold Coast,Port Adelaide,People First Stadium,96,82,,14,12,12,10, 1.76 , 1.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul-24,19:00,Adelaide,St Kilda,Adelaide Oval,71,39,,10,11,5,9, 1.51 , 2.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul-24,19:30,Melbourne,Essendon,MCG,84,67,,13,6,10,7, 2.40 , 1.52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul-24,16:35,Western Bulldogs,Carlton,Marvel Stadium,100,86,,14,16,12,14, 2.52 , 1.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul-24,13:45,Hawthorn,Fremantle,UTAS Stadium,87,74,,13,9,10,14, 1.97 , 1.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Jul-24,13:45,Sydney,North Melbourne,SCG,138,59,,20,18,9,5, 1.04 , 8.73 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Jul-24,19:40,Collingwood,Geelong,MCG,71,91,,10,11,13,13, 2.06 , 1.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jul-24,16:10,Brisbane,Adelaide,Gabba,97,86,,14,13,13,8, 1.21 , 4.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jul-24,15:20,St Kilda,Sydney,Marvel Stadium,84,82,,13,6,11,16, 3.97 , 1.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jul-24,13:10,Melbourne,West Coast,MCG,112,58,,17,10,8,10, 1.14 , 5.06 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jul-24,18:10,Fremantle,Richmond,Optus Stadium,105,54,,16,9,7,12, 1.05 , 8.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jul-24,19:30,GWS Giants,Carlton,ENGIE Stadium,116,104,,18,8,16,8, 2.24 , 1.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jul-24,16:35,Geelong,Hawthorn,GMHBA Stadium,110,59,,16,14,9,5, 1.54 , 2.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jul-24,13:35,North Melbourne,Gold Coast,Marvel Stadium,87,83,,13,9,12,11, 3.38 , 1.29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jul-24,13:15,Port Adelaide,Western Bulldogs,Adelaide Oval,102,54,,15,12,8,6, 1.91 , 1.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-Jul-24,19:40,Collingwood,Essendon,MCG,80,92,,12,8,13,14, 1.57 , 2.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jun-24,14:40,West Coast,Hawthorn,Optus Stadium,33,94,,4,9,14,10, 2.40 , 1.53 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jun-24,15:20,Richmond,Carlton,MCG,70,131,,10,10,20,11, 6.58 , 1.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jun-24,13:10,St Kilda,Port Adelaide,Marvel Stadium,60,62,,8,12,8,14, 1.68 , 2.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jun-24,19:00,Adelaide,GWS Giants,Adelaide Oval,94,78,,13,16,12,6, 1.98 , 1.76 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jun-24,19:30,Geelong,Essendon,MCG,105,60,,16,9,9,6, 2.22 , 1.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jun-24,16:35,Gold Coast,Collingwood,People First Stadium,101,90,,14,17,13,12, 1.89 , 1.84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jun-24,13:45,North Melbourne,Western Bulldogs,Marvel Stadium,60,77,,9,6,11,11, 7.07 , 1.08 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Jun-24,13:45,Sydney,Fremantle,SCG,98,99,,14,14,15,9, 1.19 , 4.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Jun-24,19:40,Brisbane,Melbourne,Gabba,86,81,,11,20,11,15, 1.15 , 5.05 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jun-24,14:00,Fremantle,Gold Coast,Optus Stadium,85,65,,12,13,10,5, 1.37 , 2.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Jun-24,13:00,Essendon,West Coast,Marvel Stadium,122,92,,19,8,13,14, 1.11 , 5.88 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jun-24,19:30,Melbourne,North Melbourne,MCG,70,67,,11,4,10,7, 1.18 , 4.43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jun-24,16:35,GWS Giants,Sydney,ENGIE Stadium,75,102,,11,9,15,12, 2.99 , 1.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Jun-24,13:45,Port Adelaide,Brisbane,Adelaide Oval,73,152,,10,13,23,14, 2.05 , 1.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Jun-24,19:40,Carlton,Geelong,MCG,138,75,,21,12,11,9, 1.61 , 2.22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jun-24,16:00,GWS Giants,Port Adelaide,ENGIE Stadium,73,51,,9,19,6,15, 1.52 , 2.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Jun-24,13:00,North Melbourne,Collingwood,Marvel Stadium,118,119,,19,4,18,11, 6.71 , 1.09 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jun-24,19:00,Adelaide,Sydney,Adelaide Oval,67,109,,10,7,16,13, 3.29 , 1.30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jun-24,16:35,Richmond,Hawthorn,MCG,49,97,,6,13,14,13, 2.65 , 1.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jun-24,13:45,Western Bulldogs,Fremantle,Marvel Stadium,149,82,,23,11,12,10, 1.73 , 2.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jun-24,19:40,Brisbane,St Kilda,Gabba,126,106,,19,12,16,10, 1.12 , 5.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun-24,15:20,Collingwood,Melbourne,MCG,89,51,,14,5,6,15, 2.05 , 1.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jun-24,19:20,Essendon,Carlton,MCG,70,96,,9,16,15,6, 2.42 , 1.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-Jun-24,15:20,Sydney,Geelong,SCG,112,82,,16,16,12,10, 1.27 , 3.51 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jun-24,19:30,St Kilda,Gold Coast,Marvel Stadium,51,48,,7,9,7,6, 1.74 , 2.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jun-24,16:35,West Coast,North Melbourne,Optus Stadium,65,74,,8,17,11,8, 1.22 , 3.93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Jun-24,13:45,Hawthorn,GWS Giants,UTAS Stadium,85,79,,12,13,12,7, 1.89 , 1.84 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-Jun-24,19:40,Western Bulldogs,Brisbane,Marvel Stadium,71,114,,10,11,17,12, 1.68 , 2.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-Jun-24,19:30,Adelaide,Richmond,Adelaide Oval,71,79,,10,11,12,7, 1.21 , 4.10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jun-24,16:00,Gold Coast,Essendon,People First Stadium,91,80,,14,7,11,14, 1.66 , 2.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jun-24,12:30,Melbourne,Fremantle,TIO Stadium,49,141,,7,7,22,9, 1.50 , 2.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-24,19:30,Geelong,Richmond,GMHBA Stadium,99,69,,15,9,10,9, 1.04 , 9.37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-24,14:35,West Coast,St Kilda,Optus Stadium,68,82,,10,8,12,10, 2.49 , 1.50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jun-24,13:45,Hawthorn,Adelaide,MCG,107,80,,16,11,12,8, 1.77 , 1.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-May-24,19:40,Collingwood,Western Bulldogs,Marvel Stadium,82,100,,12,10,15,10, 2.08 , 1.69 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-May-24,19:00,Port Adelaide,Carlton,Adelaide Oval,71,107,,10,11,16,11, 1.56 , 2.33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-24,16:10,Adelaide,West Coast,Adelaide Oval,137,38,,21,11,5,8, 1.18 , 4.48 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-24,15:20,Melbourne,St Kilda,MCG,100,62,,14,16,9,8, 1.34 , 3.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-24,13:10,Hawthorn,Brisbane,Marvel Stadium,100,75,,15,10,10,15, 2.70 , 1.43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-May-24,19:40,Richmond,Essendon,MCG,74,86,,10,14,12,14, 5.72 , 1.12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-May-24,16:35,Geelong,GWS Giants,GMHBA Stadium,74,78,,11,8,11,12, 1.42 , 2.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-May-24,13:45,Carlton,Gold Coast,Marvel Stadium,102,73,,15,12,11,7, 1.41 , 2.77 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-May-24,13:45,North Melbourne,Port Adelaide,Blundstone Arena,48,107,,7,6,16,11, 8.29 , 1.06 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-May-24,20:10,Fremantle,Collingwood,Optus Stadium,75,75,,11,9,10,15, 1.55 , 2.34 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-May-24,19:30,Western Bulldogs,Sydney,Marvel Stadium,88,102,,12,16,16,6, 2.29 , 1.58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-May-24,16:20,West Coast,Melbourne,Optus Stadium,105,70,,16,9,10,10, 5.64 , 1.13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-May-24,14:50,Port Adelaide,Hawthorn,Adelaide Oval,80,79,,11,14,12,7, 1.12 , 5.59 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-May-24,13:10,Essendon,North Melbourne,Marvel Stadium,106,66,,16,10,10,6, 1.04 , 9.02 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-May-24,19:30,Brisbane,Richmond,Gabba,163,44,,26,7,6,8, 1.05 , 8.73 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-May-24,19:30,St Kilda,Fremantle,Marvel Stadium,55,72,,8,7,9,18, 1.78 , 1.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-May-24,16:35,GWS Giants,Western Bulldogs,ENGIE Stadium,43,70,,6,7,8,22, 1.42 , 2.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-May-24,13:45,Collingwood,Adelaide,MCG,78,74,,12,6,11,8, 1.42 , 2.75 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-May-24,19:40,Sydney,Carlton,SCG,117,65,,17,15,9,11, 1.38 , 2.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-May-24,19:00,Gold Coast,Geelong,TIO Stadium,164,100,,26,8,15,10, 1.96 , 1.78 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-May-24,15:30,Adelaide,Brisbane,Adelaide Oval,90,90,,13,12,13,12, 1.61 , 2.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-May-24,13:00,Collingwood,West Coast,Marvel Stadium,103,37,,15,13,5,7, 1.10 , 6.58 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-24,19:00,Gold Coast,North Melbourne,TIO Stadium,120,52,,17,18,7,10, 1.09 , 6.78 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-24,19:30,Richmond,Western Bulldogs,MCG,42,133,,6,6,19,19, 2.98 , 1.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-24,16:35,Essendon,GWS Giants,Marvel Stadium,82,62,,12,10,9,8, 2.52 , 1.49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-May-24,13:45,Hawthorn,St Kilda,UTAS Stadium,58,53,,8,10,7,11, 2.52 , 1.49 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-May-24,18:30,Fremantle,Sydney,Optus Stadium,39,87,,4,15,13,9, 2.24 , 1.61 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-May-24,19:10,Geelong,Port Adelaide,GMHBA Stadium,95,101,,14,11,15,11, 1.26 , 3.67 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-May-24,19:30,Carlton,Melbourne,MCG,77,76,,12,5,11,10, 2.05 , 1.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-May-24,19:10,Brisbane,Gold Coast,Gabba,79,45,,10,19,6,9, 1.45 , 2.65 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-May-24,16:00,Western Bulldogs,Hawthorn,Marvel Stadium,91,98,,14,7,14,14, 1.22 , 4.06 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-May-24,13:00,Richmond,Fremantle,MCG,49,103,,6,13,15,13, 2.69 , 1.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-May-24,18:10,West Coast,Essendon,Optus Stadium,71,77,,11,5,11,11, 2.77 , 1.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-May-24,19:30,Melbourne,Geelong,MCG,74,66,,10,14,9,12, 2.03 , 1.74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-May-24,16:35,St Kilda,North Melbourne,Marvel Stadium,103,65,,15,13,10,5, 1.11 , 6.03 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-May-24,13:45,Sydney,GWS Giants,SCG,98,69,,14,14,10,9, 1.81 , 1.95 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-May-24,19:40,Carlton,Collingwood,MCG,79,85,,12,7,12,13, 1.53 , 2.42 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-May-24,19:30,Adelaide,Port Adelaide,Adelaide Oval,78,48,,12,6,5,18, 2.18 , 1.64 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
